ID,N_VICTIMAS,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2020-0043,1,2020,9,30,17,"ALEM, LEANDRO N. AV. Y PARAGUAY",AVENIDA,"ALEM, LEANDRO N. AV.",1,-58.37202621,-34.59717942,PEATON,PASAJEROS
2020-0044,1,2020,10,5,0,LA PLATA AV. E INDEPENDENCIA,AVENIDA,LA PLATA AV.,6,-58.42779702,-34.62207347,AUTO,AUTO
2020-0045,1,2020,10,19,3,"PAZ, GRAL. AV. Y 27 DE FEBRERO AV.",GRAL PAZ,"PAZ, GRAL. AV.",8,-58.46244952,-34.70524971,AUTO,CARGAS
2020-0046,1,2020,10,27,21,"NAZCA AV. Y CARRANZA, ADOLFO P.",AVENIDA,NAZCA AV.,11,-58.48440160,-34.60776782,MOTO,MOTO
2020-0047,1,2020,10,27,14,AUTOPISTA CAMPORA ALTURA LACARRA AV.,AUTOPISTA,AUTOPISTA PRESIDENTE HECTOR J. CAMPORA,9,-58.46668375,-34.65174801,PEATON,CARGAS
2020-0048,1,2020,10,29,20,DORREGO AV. 614,AVENIDA,DORREGO AV.,15,-58.44958780,-34.59322448,MOTO,OBJETO FIJO
2020-0049,1,2020,10,30,20,"DEL LIBERTADOR AV. Y RAMOS MEJIA, JOSE MARIA, DR. AV.",AVENIDA,DEL LIBERTADOR AV.,1,-58.37533517,-34.59276462,PEATON,AUTO
2020-0050,1,2020,11,1,22,SANTA FE AV. Y GODOY CRUZ,AVENIDA,SANTA FE AV.,14,-58.42525456,-34.57866344,PEATON,MOTO
2020-0051,1,2020,11,5,0,AVELLANEDA AV. Y MERCEDES,AVENIDA,AVELLANEDA AV.,10,-58.48493828,-34.62981124,MOTO,AUTO
2020-0052,1,2020,11,7,6,TUCUMAN Y PUEYRREDON AV.,AVENIDA,TUCUMAN,3,-58.40480504,-34.60183884,BICICLETA,CARGAS
2020-0053,1,2020,11,9,3,"ALCORTA, AMANCIO AV. Y EINSTEIN, ALBERTO",AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.41125934,-34.65417740,AUTO,AUTO
2020-0054,1,2020,11,19,9,INCLAN Y ALBERTI,CALLE,INCLAN,4,-58.39956546,-34.62977080,BICICLETA,AUTO
2020-0055,1,2020,11,19,12,OLAZABAL AV. 5437,AVENIDA,OLAZABAL AV.,12,-58.49005682,-34.57868970,PEATON,CARGAS
2020-0056,1,2020,11,21,13,"PAZ, GRAL. AV. Y DOCTOR RAMON CARRILLO",GRAL PAZ,"PAZ, GRAL. AV.",8,-58.47064556,-34.69843756,MOTO,CARGAS
2020-0057,1,2020,11,23,7,"NAZCA AV. Y VIALE, LUIS",AVENIDA,NAZCA AV.,11,-58.47501560,-34.61945902,PEATON,AUTO
2020-0058,1,2020,11,24,16,"OLIVERA AV. Y FALCON, RAMON L., CNEL.",AVENIDA,OLIVERA AV.,10,-58.48727942,-34.63652467,PEATON,AUTO
2020-0059,1,2020,12,1,6,BRASIL 1100,CALLE,BRASIL,1,-58.37951690,-34.62794241,PEATON,PASAJEROS
2020-0060,1,2020,12,3,20,"HOMERO Y PERON, EVA AV.",AVENIDA,HOMERO,9,-58.47750832,-34.65672199,PEATON,MOTO
2020-0061,1,2020,12,3,14,"CANTILO, INT. Y UDAONDO, GUILLERMO AV.",AUTOPISTA,"CANTILO, INT.",13,-58.44927253,-34.54048625,MOTO,CARGAS
2020-0062,1,2020,12,4,17,MORENO 1845,CALLE,MORENO,3,-58.39246272,-34.61253541,BICICLETA,PASAJEROS
2020-0063,2,2020,12,5,7,NUEVA YORK Y ALTA GRACIA,CALLE,NUEVA YORK,11,-58.52783814,-34.61047001,PEATON_MOTO,MOTO
2020-0065,1,2020,12,5,16,"PAZ, GRAL. AV. Y GOYENECHE, ROBERTO PARQUE AV.",GRAL PAZ,"PAZ, GRAL. AV.",12,-58.49332664,-34.54836855,MOTO,AUTO
2020-0066,1,2020,12,7,4,AUTOPISTA PERITO MORENO ALTURA ESTACION DE TREN VILLA LURO,AUTOPISTA,AUTOPISTA PERITO MORENO,10,-58.50178784,-34.63593897,MOTO,OBJETO FIJO
2020-0067,1,2020,12,11,22,SAENZ AV. Y BEAZLEY,AVENIDA,SAENZ AV.,4,-58.41657793,-34.65476216,PEATON,PASAJEROS
2020-0068,1,2020,12,12,20,DEL LIBERTADOR AV. Y AUSTRIA,AVENIDA,DEL LIBERTADOR AV.,2,-58.39731474,-34.58307887,MOTO,AUTO
2020-0069,1,2020,12,15,5,"INDEPENDENCIA AV. Y SAENZ PEÑA, LUIS, PRES.",AVENIDA,INDEPENDENCIA AV.,1,-58.38746381,-34.61790839,MOTO,PASAJEROS
2020-0070,1,2020,12,17,15,"CALLAO AV. Y LAS HERAS, GENERAL",AVENIDA,CALLAO AV.,2,-58.39189441,-34.59176378,PEATON,PASAJEROS
2020-0071,1,2020,12,17,23,SAN PEDRITO AV. Y DIRECTORIO AV.,AVENIDA,SAN PEDRITO AV.,7,-58.46749188,-34.63551751,PEATON,AUTO
2020-0072,1,2020,12,19,3,"JUJUY AV. Y CARLOS, CALVO",AVENIDA,JUJUY AV.,3,-58.40280471,-34.62113271,BICICLETA,AUTO
2020-0073,1,2020,12,20,7,27 DE FEBRERO AV. Y ESCALADA AV.,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO
2020-0074,1,2020,12,20,21,BOGOTA Y NAZCA AV.,AVENIDA,BOGOTA,7,-58.47110424,-34.62742408,AUTO,AUTO
2020-0075,1,2020,12,23,14,CORRIENTES AV. Y 9 DE JULIO AV.,AVENIDA,CORRIENTES AV.,1,-58.38220928,-34.60373898,PEATON,PASAJEROS
2020-0076,1,2020,12,24,12,ALVAREZ JONTE AV. Y CHIVILCOY,AVENIDA,ALVAREZ JONTE AV.,10,-58.49794468,-34.61565025,AUTO,PASAJEROS
2020-0077,2,2020,12,25,6,SAN MARTIN AV. Y PUNTA ARENAS,AVENIDA,SAN MARTIN AV.,15,-58.47220945,-34.60111373,MOTO,AUTO
2020-0078,1,2020,12,25,5,BARCO CENTENERA DEL 1118,CALLE,BARCO CENTENERA DEL,7,-58.43706741,-34.63217813,BICICLETA,PASAJEROS
2020-0079,1,2020,12,27,4,"PAZ, GRAL. AV. Y ACCESO NORTE - PANAMERICANA",GRAL PAZ,"PAZ, GRAL. AV.",12,-58.49332664,-34.54836855,MOTO,OBJETO FIJO
2021-0001,1,2021,1,6,18,AU FRONDIZI KM. 3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.37960727,-34.62622851,MOTO,AUTO
2021-0002,1,2021,1,7,10,"CASTRO, EMILIO AV. Y MURGUIONDO",AVENIDA,"CASTRO, EMILIO AV.",9,-58.51061062,-34.64972472,MOTO,CARGAS
2021-0003,1,2021,1,10,7,"AU 25 DE MAYO KM. 3,7",AUTOPISTA,AUTOPISTA 25 DE MAYO,7,-58.43052224,-34.62941648,MOTO,OBJETO FIJO
